This is test output
file open
eerie : 1
supporting : 1
creeps : 1
ping : 1
rope : 1
separated : 1
spelled : 1
languages : 1
title : 1
stain : 1
interestinglooking : 1
volume : 1
balancing : 1
bloodcurdling : 1
shriek : 2
unbroken : 1
earsplitting : 1
panicking : 1
shrieking : 1
outstretched : 1
book's : 1
shrieks : 2
ringing : 1
recognize : 3
directly : 1
somebody's : 1
section. : 1
drain : 1
shortcut : 1
replied : 1
unused : 1
shapes : 1
desks : 2
upturned : 1
basket : 1
propped : 1
ornate : 1
clawed : 1
inscription : 1
carved : 2
top: : 1
stra : 1
ehru : 1
oyt : 2
ube : 1
cafru : 1
wohsi : 1
scared-looking : 2
mirror's : 1
reflections : 2
existed : 1
edging : 1
touching : 1
mom?" : 1
dad?" : 1
hungrily : 2
ache : 1
sadness : 1
fade : 1
distant : 4
senses : 1
crossly : 1
everyone. : 1
shows : 8
right? : 6
odd. : 1
feared : 2
retracing : 1
route : 1
freezing, : 1
moaning : 2
yes! : 1
all.. : 1
them.... : 1
paisley : 1
transfixed : 2
image : 1
future? : 1
time. : 1
parents. : 1
discussion : 1
quick!" : 1
no." : 1
no... : 1
go... : 1
shaves : 1
over? : 1
grandfathers : 1
insides : 2
nearsighted : 1
so," : 1
discovered : 1
delights : 1
erised. : 1
does? : 1
invisible, : 1
happiest : 1
want... : 1
deepest : 1
desire : 2
ronald : 3
overshadowed : 1
sees : 1
knowledge : 1
men : 2
wasted : 1
entranced : 1
prepared : 2
admirable : 1
bed? : 1
obviously, : 1
however. : 1
mirror? : 2
woolen : 1
socks. : 1
socks, : 1
insist : 1
books. : 1
truthful : 1
shoved : 1
pillow : 3
personal : 1
convinced : 2
nightmares : 2
disappearing : 1
mad, : 1
drearns : 1
roaming : 1
nights : 1
"if : 1
you!") : 1
disappointment : 1
li- : 1
brary : 1
skimming : 2
breaks : 1
endless : 1
replaced : 1
dampen : 1
fanatic : 1
overtake : 2
fewer : 2
muddy : 1
dive-bombing : 1
around! : 1
refereeing? : 1
spluttered : 2
mud : 1
when's : 1
refereed : 1
fault, : 1
quidditch... : 1
moment, : 1
concen : 1
terrible. : 1
sinister : 1
referee : 3
play, : 2
leg, : 2
all. : 4
climb : 1
leg-locker : 2
bunny : 2
hop : 1
countercurse : 2
malfoy," : 1
mcgonagall! : 1
urged : 2
trouble, : 1
easier. : 1
choked : 3
chose : 1
stinking : 1
harry.. : 1
bed... : 1
ever- : 1
this: : 1
'dumbledore : 1
flamel'! : 1
exchange : 1
mystified : 1
dashing : 3
reading. : 1
light?" : 1
flicking : 1
pages : 1
grumpily : 2
flamel, : 1
dramatically : 1
maker : 1
stone! : 2
effect : 1
ancient : 2
concerned : 2
legendary : 1
transform : 1
pure : 3
produces : 1
elixir : 5
drinker : 2
immortal : 1
reports : 1
centuries : 1
existence : 1
belongs : 1
noted : 1
alchemist : 1
opera : 1
lover : 1
celebrated : 1
sixty-fifth : 1
devon : 1
perenelle : 2
fifty-eight) : 1
gringotts! : 1
stops : 1
dying! : 1
wizardry, : 1
sixty-five : 1
treating : 1
werewolf : 4
bites : 1
discussing : 1
them.. : 1
wipe : 1
win. : 1
field, : 1
calm : 5
overtaking : 1
biased : 1
weekly : 1
torture : 1
pep : 1
grim : 1
secretly : 1
practicing : 2
using : 1
locomotor : 1
mortis, : 1
nag. : 1
pressure : 1
capture : 1
favor : 1
much. : 3
school's : 2
watch! : 1
somersault : 1
dumbledore?" : 1
mean, : 2
-they're : 1
ouch! : 1
broadly : 1
weasley? : 1
fixedly : 1
choose : 3
who've : 2
brains. : 1
howled : 1
neville. : 1
longbottom, : 1
poorer : 1
anxiety : 1
ron!" : 1
where? : 1
bullet : 1
ground! : 1
leaping : 1
scuffles : 1
yelps : 1
whirl : 2
shoot : 2
triumph : 1
erupted : 2
ron! : 1
game's : 1
lead! : 1
hugging : 2
spilling : 1
nearby : 1
white-faced : 1
tight-lipped : 1
brooding : 1
mirror.. : 1
busy.. : 1
excellent... : 1
broomshed : 1
reliving : 1
blur: : 1
nosebleed : 1
shed : 1
snape... : 1
snape.. : 1
hooded : 4
figure : 7
figure's : 1
prowling : 1
circles : 1
brushing : 1
noiselessly : 1
beech : 1
leaves : 11
stuttering : 1
d-don't : 1
p-places : 1
severus... : 1
private, : 1
mumbling : 1
beast : 2
b-b-but : 1
enemy : 1
quirrell, : 1
i-i : 1
steadied : 1
hocus-pocus : 1
b-but : 1
d-d-don't : 1
loyalties : 1
lie. : 2
won! : 1
thumping : 1
single-handed : 1
pomftey : 1
kitchens. : 1
this.... : 2
fluffy : 19
'hocus : 1
pocuss-- : 1
enchantments : 2
anti-dark : 2
stone's : 5
snape? : 1
tuesday, : 1
fourteen : 2
norbert : 20
norwegian : 4
ridgeback : 4
paler : 1
thinner : 1
press : 1
growling : 1
encouraging : 1
schedules : 2
colorcoding : 1
minded : 1
exams : 9
weeks, : 1
flamel. : 1
old, : 1
a. : 1
crazy : 2
me.... : 2
easter : 1
relax : 3
reciting : 1
longingly : 1
forget-me-not : 1
dittany" : 1
hagrid! : 2
lookin', : 1
shifty : 1
what're : 1
ter? : 1
suspicious : 1
impressively : 1
st : 2
shhhh!" : 2
shoutin' : 1
fact, : 1
promisin' : 1
rabbitin' : 1
aren' : 1
back? : 1
thoughtfully : 2
stone? : 1
in, : 2
dragons!" : 1
these: : 1
species : 1
ireland : 1
inferno : 1
keeper's : 1
guide. : 1
laws, : 1
breeding : 2
outlawed : 1
warlocks' : 1
convention : 1
1709 : 1
tame : 1
burns : 1
romania. : 1
britain? : 1
are, : 2
welsh : 1
hebridean : 1
blacks : 1
hushing : 1
forget. : 1
earths : 1
to? : 1
gamekeeper's : 1
stifling : 1
stoat : 2
refused : 1
somethin'? : 1
bush : 2
fluffy. : 3
frowned : 1
cant : 1
s'ppose : 1
beats : 1
flattering : 1
really. : 2
s'pose : 1
me.. : 4
enchantments.. : 1
snape?" : 1
protecting : 1
guarded : 1
soul : 2
boiling. : 1
ah," : 1
fiddling : 1
er... : 1
fortune. : 1
havin' : 1
drinks : 1
honest. : 1
hatched? : 1
doin' : 1
readin' : 1
pleasure : 1
profit : 1
mothers : 1
breathe : 3
em : 1
hatches : 1
feed : 2
diff'rent : 2
humming : 1
stoked : 1
about: : 1
illegal : 2
peaceful : 1
nuts : 1
hatching : 1
skip : 1
hatching? : 1
argued : 1
trowels : 1
greeted : 1
ushered : 1
clicking : 1
bated : 1
spiny : 1
stubs : 1
sneezed : 1
beautiful? : 1
stroke : 1
mommy! : 1
ridgebacks : 1
exactly? : 1
drained : 2
runnin' : 1
darkened : 1
free. : 1
die. : 3
furling : 1
gamekeeping : 1
duties : 1
norbert, : 1
mommy? : 1
marbles, : 1
norbert's : 3
moment. : 2
forever : 3
dump : 1
can't. : 1
remember? : 2
wild! : 1
brilliant!" : 1
-an : 1
chimed : 1
lullaby. : 1
hedwig! : 1
answer! : 1
tallest : 3
love : 3
cover : 2
norbert. : 2
hitch : 1
swollen : 1
shade : 1
state : 2
hand, : 1
feels : 1
believes : 2
-i : 1
saturday, : 1
soothe : 1
sweat : 2
saturday! : 1
hoarse : 3
bandaged : 1
puffed : 1
stage : 1
handle. : 2
aargh! : 1
boot : 1
playin' : 1
rattle : 1
arriving : 1
tennis : 1
journey, : 1
teddy : 2
lonely. : 1
bye-bye, : 1
norbert! : 1
heaved : 2
shortcuts : 1
easier : 2
forgetting : 1
outlines : 1
grappling : 1
flared : 2
tartan : 1
net : 1
detention!" : 1
dragon! : 1
utter : 1
lies : 3
malfoy! : 1
easiest : 1
jig : 1
detention : 4
sing! : 1
don't," : 1
advised : 1
thrashing : 2
cheery : 1
harness : 1
rigged : 1
suspend : 1
thanked : 1
going.. : 2
happiness : 1
loomed : 1
foribidden : 1
excuses : 1
alibis : 1
cover- : 1
brain : 2
cornered : 1
creeping : 1
astronomy : 3
harry!" : 2
violently : 1
likely : 1
yourselves. : 1
slippers : 1
cock-and-bull : 1
blundering : 1
disgusted, : 1
receive : 1
detentions : 2
especially : 3
fifty?" : 1
each, : 1
ashamed : 2
students. : 1
comfort : 2
dawn : 1
hourglasses : 1
recorded : 1
there'd : 1
spread: : 1
hero : 2
lo : 1
popular : 1
admired : 1
longing : 1
insulted : 1
owe : 1
one! : 2
repair : 1
meddle : 1
resign : 1
resign?" : 1
good'll : 1
suffering : 2
well-known : 1
misery : 1
memorize : 1
rebellions... : 1
due : 1
resolution : 1
unexpected : 1
whimpering : 1
sob : 1
straightening : 1
meddling : 1
gambled : 1
spring : 1
testing : 1
kindling : 1
sure. : 1
proof! : 1
dumbledore'll : 1
sacked : 2
depended : 1
explaining. : 1
around. : 1
jupiter : 1
delivered : 1
same: : 1
furor : 1
deserved : 1
lighting : 1
leering : 1
yes.. : 2
pity : 1
punishments : 1
out.. : 1
wrists : 1
chains : 1
oiled : 1
needed... : 1
sniffing : 1
scudding : 1
started. : 1
-face : 1
oaf : 1
mistaken : 1
piece. : 1
moan : 1
forest? : 1
werewolves : 2
heard. : 1
cracking : 2
should've : 1
arrows : 1
waitin' : 1
hermione? : 3
lecturin' : 1
'snot : 1
dawn, : 1
yehve : 1
copyin' : 1
good's : 1
father'd : 1
on"' : 1
gaze : 1
risks : 1
winding : 2
track : 1
shinin' : 1
misery. : 1
first? : 1
fang, : 2
inter : 2
trail : 1
staggerin' : 1
fang's : 1
coward, : 1
hermione'll : 1
fang'll : 1
silver-blue : 1
killing : 2
unicorns? : 1
enough, : 1
creatures : 2
before. : 2
mossy : 1
stump : 1
can't've : 1
tree! : 1
hoisted : 1
arrow : 1
listened : 2
nearby: : 1
shouldn' : 1
werewolf? : 1
wasn' : 2
neither, : 1
grimly : 2
horse's : 1
chestnut : 1
reddish : 1
ronan, : 2
centaur's : 1
ronan : 18
sorrowful : 1
loose : 1
centaur.) : 1
noticed, : 1
evening, : 1
students, : 1
erm : 1
bit, : 1
anythin'? : 1
innocent : 1
victims, : 1
unusual? : 1
bright. : 1
meanin' : 1
strange? : 1
hides : 1
secrets. : 1
bow : 1
centaur : 6
-bodied : 1
wilder-looking : 1
hullo, : 1
bane, : 1
well? : 1
injured : 1
bane : 14
heard, : 1
stargazers : 1
closer'n : 1
moon. : 1
few.. : 1
mostly : 1
turnin' : 1
centaurs.. : 1
things.. : 2
earlier? : 1
hooves : 2
dense : 2
trouble! : 1
yeh! : 1
undergrowth : 1
neville.. : 1
sharper : 1
fuming : 1
sneaked : 1
panicked : 1
makin' : 1
changin' : 1
frightenin' : 1
done. : 1
thicker : 1
splashes : 1
inched : 1
slender : 1
freeze : 1
quivered... : 1
stalking : 1
cloaked : 1
lowered : 3
animal's : 1
aaaaaaaaaargh!" : 1
dribbling : 1
pierced : 1
blinded : 1
staggered : 1
galloping : 2
charging : 1
white-blond : 1
palomino : 1
astonishingly : 1
sapphires : 1
lingering : 1
livid : 1
firenze, : 1
flanks : 1
heaving : 1
firenze!" : 1
mule? : 1
firenze : 16
better. : 1
remember, : 1
planets? : 1
pawed : 2
centaurs : 3
foretold : 1
donkeys : 1
stray : 1
humans : 3
forest! : 1
reared : 1
hind : 1
unicorn? : 1
alongside : 1
must. : 1
whisked : 1
why's : 1
low-hanging : 1
-for? : 1
horn : 1
potions. : 1
slay : 1
unicorn, : 1
gain : 1
commit : 1
inch : 1
price : 1
slain : 1
defenseless : 1
half-life : 1
cursed : 4
lips. : 1
firenze's : 1
dappled : 1
desperate? : 1
deaths : 1
strength : 2
clung : 1
awaiting : 1
chance? : 1
iron : 1
met: : 1
fine, : 1
unicorn's : 1
examine : 2
wrongly : 1
times. : 1
cantered : 1
shivering : 1
fouls : 1
wide-eyed : 1
voldemort.. : 1
forest.. : 2
rich.... : 1
so... : 1
furious.. : 1
happen... : 1
back... : 1
stone, : 2
feverishly : 1
bane'll : 1
happy. : 1
fortune-telling : 1
imprecise : 1
branch : 1
exhausted : 1
throats : 1
sore : 2
night's : 2
surprises : 2
sweltering : 1
papers : 2
anticheating : 1
practical : 1
pineapple : 1
tapdance : 1
snuffbox : 2
forgetfulness : 1
stabbing : 1
pains : 1
bothering : 1
exam : 6
dripping : 1
foreheads : 1
visiting : 1
fret : 1
answering : 1
batty : 1
invented : 2
selfstirring : 1
flocking : 1
needn't : 3
1637 : 1
code : 1
conduct : 1
uprising : 1
elfric : 1
eager. : 1
tickling : 1
tentacles : 1
squid : 1
basking : 1
shallows : 1
studying, : 1
means! : 1
pomfrey, : 1
warning.. : 1
danger's : 1
coming.... : 1
proof : 1
lets : 1
down. : 1
unsettled : 1
betray : 1
fluffy.. : 1
never.. : 1
where're : 2
odd, : 1
grassy : 1
slope : 1
wander : 1
law : 1
about? : 1
shelling : 1
hullo," : 1
drink? : 2
dunno," : 1
hog's : 1
dealer : 1
mightn' : 1
hood : 1
yeah... : 1
here... : 1
after.. : 1
dragon.. : 1
then.. : 1
can' : 1
buyin' : 1
drinks... : 1
wanted.. : 1
home... : 1
easy... : 1
dogs : 1
fluffy's : 1
horrified : 2
that! : 1
hey : 1
goin'? : 1
office? : 1
fishy : 1
secret, : 1
urgent : 1
gone? : 2
now?" : 1
demands : 1
important. : 2
caution : 2
winds : 1
tone : 1
tumbled : 1
sn- : 1
someone's : 1
suspicion : 1
assured : 1
protected. : 1
about, : 1
enjoy : 1
sunshine. : 1
careful, : 1
wanderings : 1
personally : 1
obvious, : 1
'oh : 1
b : 1
wrong....' : 1
corridor, : 1
separating : 1
enchantments! : 1
stormed : 1
house! : 1
tail, : 1
went. : 1
mad! : 1
can't! : 1
expelled! : 1
whap : 1
alone? : 1
useful... : 1
percent : 1
bothered : 2
putted : 1
pocketed : 1
trevor : 2
bid : 1
freedom : 1
hurriedly : 1
waste : 2
understand, : 1
steeling : 1
idiot! : 1
people! : 1
exasperation : 1
doing. : 1
ready! : 1
neville," : 1
petrificus : 1
totalus! : 1
rigid : 1
what've : 1
body-bind, : 1
sorry. : 1
explain, : 1
motionless : 1
omen : 1
statue's : 1
skulking : 1
once, : 1
lamplike : 1
loosening : 2
carpet : 1
ghoulie : 1
ghostie : 1
wee : 1
beastie? : 1
a-creeping : 1
unseen. : 1
invisible. : 1
bloodiness : 1
sir, : 2
greasily : 1
peevsie : 1
will, : 2
scooted : 1
impress : 1
creaked : 1
feet? : 1
harp, : 1
playing, : 2
goes... : 1
tune : 1
beast's : 1
droop : 1
ceased : 1
tottered : 1
smelly : 1
approached : 1
open, : 1
don't! : 1
gritted : 1
ring : 1
see? : 3
drop. : 1
sure? : 1
asleep. : 1
seconds' : 1
fingertips : 1
hope.. : 1
flump : 1
thump : 1
okay! : 1
landing : 2
jump! : 1
sprawled : 1
stuff? : 1
bark : 1
thing's : 1
lucky!" : 1
both! : 1
struggle : 1
twist : 1
tendrils : 1
creepers : 1
tighter : 1
moving! : 1
devil's : 5
snare! : 1
help, : 1
curling : 1
breathe! : 1
snare : 3
snare.. : 1
likes : 1
fire! : 1
wood! : 1
wringing : 1
right! : 1
bluebell : 1
cringed : 1
wriggling : 1
flailing : 1
unraveled : 1
bodies : 1
crisis : 1
'there's : 1
wood,' : 1
honestly. : 1
gentle : 1
drip : 1
trickling : 1
fully-grown : 1
enough.. : 2
clinking : 1
ghost? : 1
moving. : 1
brilliantly : 1
arching : 1
tumbling : 1
room? : 1
probably," : 1
vicious : 1
once.. : 1
choice.. : 1
run. : 1
beaks : 1
untouched : 1
tugged : 1
alohomora : 1
birds.. : 1
decoration, : 1
soaring : 2
birds! : 1
winged : 1
mean... : 1
squinted : 1
flock : 1
door! : 1
them! : 1
old-fashioned : 1
midst : 1
darted : 2
knack : 2
spotting : 1
minute's : 1
weaving : 1
rainbow : 1
damaged : 1
rocketed : 1
rammed : 1
ready?" : 2
chessboard : 1
room. : 1
how?" : 1
think, : 1
chessmen. : 1
knight's : 1
helmeted : 1
across? : 1
pieces.... : 1
offended : 1
offended, : 1
bishop : 3
90 : 1
castle. : 1
knight, : 1
squares : 3
plays : 1
chess, : 1
yes... : 1
pawn : 1
diagonally : 1
queen : 4
smashed : 1
happen, : 1
mercy : 2
limp : 1
think... : 1
yes..." : 2
way.. : 1
taken. : 1
nof : 1
chess! : 1
sacrifices : 1
checkmate : 1
king : 2
look, : 2
alternative : 1
won. : 1
pounced : 1
spaces : 1
crown : 1
charged : 1
convince : 1
reckon's : 1
next? : 1
sprout's : 1
transfigured : 1
snape's. : 1
watering : 1
larger : 1
tackled : 1
lump : 1
breathe. : 1
differently : 1
snape's," : 1
threshold : 1
instant : 2
onward : 2
safety : 1
transport : 1
nettle : 2
killers : 1
bidden : 1
forevermore : 1
four: : 1
slyly : 1
poison : 2
wine's : 1
dwarf : 1
holds : 1
brilliant," : 1
logic : 3
puzzle : 1
we? : 1
bottles: : 1
purple. : 1
stone. : 3
swallow. : 1
flames? : 1
flying- : 1
me!" : 1
books! : 1
cleverness : 1
friendship : 1
bravery : 2
careful! : 1
first, : 1
positive," : 1
poison? : 1
ice. : 1
wears : 1
care. : 1
go!" : 1
come, : 1
flooding : 1
braced : 1
me," : 1
severus?" : 1
treble : 1
type : 1
overgrown : 1
suspect : 1
p-p-poor : 1
st-stuttering : 1
p-professor : 1
\why : 1
really.. : 1
unpopular.. : 1
nosy : 1
scurrying : 1
certainly. : 1
trolls : 1
this.. : 2
london.. : 1
back.... : 1
concentrating : 1
idly : 1
frighten : 1
side.... : 1
stone.. : 1
presenting : 1
master.. : 1
binding : 2
does, : 1
heavens, : 1
loathed : 1
dead. : 1
you.... : 1
spasm : 1
sometimes," : 1
master's : 1
instructions : 1
traveled : 1
it... : 1
served : 1
faithfully : 1
mistakes : 1
displeased : 1
trailed : 1
-how : 1
understand.. : 1
myseff : 1
tight: : 1
master! : 1
boy.. : 1
boy... : 1
blood-red : 1
incredibly : 1
well?" : 1
lies.. : 1
lies... : 1
face-to-face... : 1
master, : 2
enough! : 1
rooting : 1
muscle : 1
slits : 1
become? : 1
mere : 1
vapor : 1
another's : 1
body.. : 1
willing : 1
minds... : 1
strengthened : 1
weeks.. : 1
faithful : 1
create : 1
own... : 1
now.. : 1
pocket? : 1
surged : 1
fool, : 1
parents... : 1
begging : 1
mercy... : 1
liar!" : 1
touching... : 1
value : 1
bravery.. : 1
brave... : 1
courageous : 1
fight.. : 1
died.. : 1
you... : 1
vain. : 1
never!" : 1
flame : 1
seize : 3
needle-sharp : 1
seared : 1
lessened : 1
blistering : 2
lunged : 1
feet' : 1
agony : 2
cannot : 4
hands! : 1
pinning : 1
palms : 1
raw : 1
perform : 1
deadly : 2
instinct : 1
aaaargh!" : 1
knew: : 1
yells : 1
grasp : 1
blackness : 1
down.. : 2
swam : 1
remembered: : 1
sir! : 1
times, : 1
linen : 1
tokens : 1
admirers, : 1
naturally : 1
misters : 1
responsible : 1
hygienic : 1
confiscated : 1
worried. : 1
distracted : 1
prevent : 1
destroyed. : 1
destroyed?" : 1
blankly : 1
nicolas? : 1
best. : 1
stored : 1
affairs : 1
well-organized : 2
beings : 1
precisely : 1
sir?" : 1
increases : 1
itself. : 1
share.. : 1
truly : 1
nevertheless : 1
delayed : 2
merely : 1
power. : 1
about.... : 1
truth. : 1
therefore : 2
treated : 1
beg : 1
well... : 1
alas, : 1
day.. : 1
older.. : 1
sign.. : 1
loved : 2
hatred : 1
marked : 1
bird : 1
sheet : 1
twinkled : 1
else... : 1
detest : 1
unlike : 1
forgive. : 1
life. : 1
dreamily : 1
funny, : 1
debt... : 1
hating : 1
peace.... : 1
thing... : 1
otherwise : 1
sometimes... : 1
unfortunate : 1
youth : 1
vomitflavored : 1
toffee : 1
golden-brown : 1
alas! : 1
wax! : 1
nurse : 1
minutes, : 1
pleaded : 1
absolutely : 1
in... : 1
rest. : 1
resting : 1
pomfrey... : 1
only. : 1
fling : 1
everything: : 1
audience : 1
die? : 1
'to : 1
rocker, : 1
two? : 1
'harry's : 1
he?' : 1
floor. : 1
everything? : 1
killed. : 1
isn't, : 1
stopping : 1
accident : 1
could.... : 1
rocker : 1
end-of-year : 2
steamrollered : 1
food'll : 1
bustled : 1
feast, : 1
stiffily : 1
risky : 1
visitor. : 1
indoors : 1
fault! : 1
git : 1
chucked : 1
muggle! : 1
grief : 1
remorse : 1
leaking : 1
died! : 1
voldemort!" : 1
loads.... : 1
sandwich : 1
chuckle : 1
nah. : 1
fix : 1
shoulda : 1
this... : 1
leather-covered : 1
photos.. : 1
any.. : 1
pomfrey's : 1
fussing : 1
insisting : 1
checkup : 1
decked : 1
slytherin's : 1
serpent : 2
hush : 1
fortunately : 1
waffle : 1
fuller : 1
were.. : 1
starts... : 1
awarding : 1
thus: : 1
fifty-two : 1
twenty-six : 1
seventy- : 1
two. : 1
stamping : 1
however, : 1
account. : 1
slytherins' : 1
ahem," : 1
dish : 1
weasley... : 1
radish : 1
sunburn : 1
...for : 1
best-played : 1
award : 4
points. : 3
set! : 1
granger.. : 1
din : 1
seventy-two : 1
gradually : 1
kinds : 1
courage, : 1
takes : 1
longbottom. : 1
explosion : 1
nudged : 1
body-bind : 1
downfall : 1
decoration. : 1
jot : 1
trolls.. : 1
grades : 1
scraped : 1
abysmal : 1
wardrobes : 1
toilets : 1
sadly) : 1
boarding : 1
greener : 1
tidier : 1
towns : 1
wizened : 1
gate : 1
twos : 1
threes : 1
alarming : 1
summer, : 1
owl. : 1
gateway : 2
called: : 1
bye, : 1
famous, : 1
squealed : 1
point. : 1
year? : 1
very," : 1
weasley. : 1
ready, : 1
purple-faced : 1
mustached : 1
manner : 1
speaking, : 1
day. : 1
holiday, : 1
spreading : 1
summer.... : 1
harryPotterReader.UniqueWord@548c4f57
